Day,Hour,Temp,Dir,Spd
0,1,0.774744027,180,0.205882353
0,2,0.774744027,170,0.12745098
0,3,0.764505119,180,0.098039216
0,4,0.764505119,180,0.058823529
0,5,0.757679181,170,0.117647059
0,6,0.76109215,180,0.039215686
0,7,0.781569966,170,0.098039216
0,8,0.819112628,180,0.098039216
0,9,0.860068259,180,0.254901961
0,10,0.863481229,,
0,11,0.860068259,280,0.196078431
0,12,0.849829352,,
0,13,0.883959044,270,0.176470588
0,14,0.870307167,180,0.303921569
0,15,0.90443686,220,0.166666667
0,16,0.894197952,220,0.196078431
0,17,0.877133106,260,0.215686275
0,18,0.846416382,230,0.166666667
0,19,0.825938567,230,0.225490196
0,20,0.819112628,240,0.205882353
0,21,0.80887372,220,0.235294118
0,22,0.798634812,220,0.147058824
0,23,0.795221843,250,0.156862745
0,24,0.781569966,180,0.107843137
1,1,0.784982935,190,0.068627451
1,2,0.771331058,170,0.147058824
1,3,0.76109215,170,0.078431373
1,4,0.764505119,170,0.117647059
1,5,0.76109215,180,0.068627451
1,6,0.76109215,170,0.12745098
1,7,0.784982935,180,0.176470588
1,8,0.805460751,180,0.176470588
1,9,0.836177474,170,0.254901961
1,10,0.839590444,180,0.205882353
1,11,0.883959044,170,0.235294118
1,12,0.812286689,,
1,13,0.846416382,260,0.166666667
1,14,0.894197952,270,0.235294118
1,15,0.883959044,260,0.254901961
1,16,0.870307167,,
1,17,0.85665529,270,0.225490196
1,18,0.843003413,260,0.235294118
1,19,0.825938567,260,0.264705882
1,20,0.815699659,250,0.264705882
1,21,0.812286689,220,0.147058824
1,22,0.805460751,210,0.18627451
1,23,0.805460751,200,0.18627451
1,24,0.791808874,180,0.166666667
2,1,0.788395904,170,0.264705882
2,2,0.802047782,180,0.156862745
2,3,0.798634812,220,0.156862745
2,4,0.798634812,230,0.225490196
2,5,0.791808874,210,0.196078431
2,6,0.791808874,220,0.254901961
2,7,0.802047782,220,0.156862745
2,8,0.802047782,230,0.205882353
2,9,0.819112628,260,0.196078431
2,10,0.866894198,260,0.18627451
2,11,0.85665529,250,0.205882353
2,12,0.866894198,240,0.166666667
2,13,0.880546075,230,0.196078431
2,14,0.901023891,240,0.235294118
2,15,0.894197952,240,0.264705882
2,16,0.897610922,230,0.274509804
2,17,0.860068259,250,0.254901961
2,18,0.846416382,230,0.264705882
2,19,0.829351536,220,0.225490196
2,20,0.822525597,220,0.333333333
2,21,0.815699659,230,0.196078431
2,22,0.819112628,240,0.166666667
2,23,0.819112628,220,0.294117647
2,24,0.812286689,190,0.156862745
3,1,0.812286689,210,0.294117647
3,2,0.802047782,220,0.215686275
3,3,0.784982935,210,0.235294118
3,4,0.802047782,220,0.156862745
3,5,0.802047782,230,0.196078431
3,6,0.798634812,220,0.205882353
3,7,0.805460751,230,0.147058824
3,8,0.815699659,240,0.176470588
3,9,0.788395904,230,0.274509804
